# Format: InterArrivalDelay,x,y,operation
0.250,345,123,add
0.250,54390,2342,subtract
0.250,8944345,23,multiply
0.250,2351234,4598,divide
0.250,3450,1230,add
0.250,543900,23420,subtract
0.250,2944345,8,multiply
0.250,23512340,45980,divide
0.250,653,246,add
0.250,54390,2342,subtract
0.250,8944345,23,multiply
0.250,56,8,divide
0.250,63455,34545,add
0.250,23453,14545,subtract
0.250,67674,765,multiply
0.250,64357,459,divide
0.250,8945,63434,add
0.250,723453,4545,subtract
0.250,867674,762,multiply
0.250,3454534,96357,divide
0.250,67867567,2332434,add
0.250,8657567,32343,subtract
0.250,7867878,36,multiply
0.250,67867345,123,divide
0.250,55345,865745,add
0.250,67867456,233465,subtract
0.250,23426,89,multiply
0.250,94645656,328,divide
0.250,27867855,245634,add
0.250,23453232,1432545,subtract
0.250,6767474,5,multiply
0.250,27464357,76354,divide
0.250,638967455,27834545,add
0.250,228433453,1324545,subtract
0.250,9567674,120,multiply
0.250,276764357,1234,divide
0.250,256763455,12344545,add
0.250,87323453,345545,subtract
0.250,234467674,43,multiply
0.250,256456345,1854,divide
