#ticker, date, time, askprice
"AEC","27-DEC-2005","06:16:53.068",0
"AGU","27-DEC-2005","06:16:53.068",0
"AOF","27-DEC-2005","06:16:53.068",0
"AWF","27-DEC-2005","06:16:54.074",0
"CNS","27-DEC-2005","06:16:55.076",0
"DG","27-DEC-2005","06:16:56.075",0
"GCT","27-DEC-2005","06:16:57.076",0
"IJD","27-DEC-2005","06:16:58.137",0
"ITU","27-DEC-2005","06:16:58.137",0
"KEP","27-DEC-2005","06:16:59.514",0
"KNX","27-DEC-2005","06:16:59.514",0
"POH","27-DEC-2005","06:17:05.135",0
"TDI","27-DEC-2005","06:17:06.136",0
"TWN","27-DEC-2005","06:17:07.133",0
"VCP","27-DEC-2005","06:17:07.133",0
"VTI","27-DEC-2005","06:17:09.135",0
"GLD","27-DEC-2005","14:06:09.854",50.7
"IYF","27-DEC-2005","14:12:38.019",103.69
"IOO","27-DEC-2005","14:13:20.873",64.02
"AU","27-DEC-2005","14:13:32.877",49
"CAJ","27-DEC-2005","14:14:17.938",60
"EWZ","27-DEC-2005","14:14:46.039",33.25
"HIT","27-DEC-2005","14:14:54.357",68.4
"IX","27-DEC-2005","14:15:42.272",133
"AUO","27-DEC-2005","14:16:06.797",14.76
"EW","27-DEC-2005","14:16:10.800",42.53
"IVV","27-DEC-2005","14:16:12.353",127.95
"MTU","27-DEC-2005","14:16:18.853",14.86
"SKM","27-DEC-2005","14:16:28.883",21
"BAB","27-DEC-2005","14:16:37.149",58.63
"KEP","27-DEC-2005","14:16:37.149",19.81
"IYE","27-DEC-2005","14:16:41.154",87.02
"V","27-DEC-2005","14:16:52.432",31.74
"SCM","27-DEC-2005","14:17:08.724",31.78
"SPP","27-DEC-2005","14:17:30.992",12.06
"KB","27-DEC-2005","14:18:14.785",77
"ANZ","27-DEC-2005","14:18:28.992",88.4
"NTT","27-DEC-2005","14:18:33.156",22.9
"PYD","27-DEC-2005","14:18:34.858",25
"EWY","27-DEC-2005","14:18:45.764",45
"YPF","27-DEC-2005","14:19:00.805",51.45
"ASR","27-DEC-2005","14:19:23.408",32.9
"BAK","27-DEC-2005","14:19:29.837",16.75
"EWT","27-DEC-2005","14:19:32.347",12.9
"PDS","27-DEC-2005","14:19:53.554",33.2
"MC","27-DEC-2005","14:19:55.168",20
"DER","27-DEC-2005","14:19:57.868",7.5
"SPY","27-DEC-2005","14:19:57.868",127.76
"IWM","27-DEC-2005","14:20:08.006",69.13
"FAL","27-DEC-2005","14:20:20.687",29.7
"WF","27-DEC-2005","14:20:22.098",60
"BUH","27-DEC-2005","14:20:23.457",15.06
"FXE","27-DEC-2005","14:20:24.767",118.87
"MDY","27-DEC-2005","14:20:24.767",137.74
"PGS","27-DEC-2005","14:20:33.658",30.9
"BAY","27-DEC-2005","14:20:40.546",43.2
"BF","27-DEC-2005","14:20:56.769",77.21
"BR","27-DEC-2005","14:21:12.603",86.5
"DB","27-DEC-2005","14:21:12.603",98.92
"RMD","27-DEC-2005","14:21:21.878",39.5
"EVG","27-DEC-2005","14:21:30.456",16.6
"TS","27-DEC-2005","14:21:30.456",117.14
"SI","27-DEC-2005","14:21:34.107",86.5
"ABN","27-DEC-2005","14:21:36.592",26.84
"GDT","27-DEC-2005","14:21:38.544",66
"EMT","27-DEC-2005","14:21:46.283",14.95
"PH","27-DEC-2005","14:21:48.485",68.79
"PDA","27-DEC-2005","14:21:50.306",64
"HAN","27-DEC-2005","14:21:50.843",55.58
"SUN","27-DEC-2005","14:21:52.721",80.03
"CNI","27-DEC-2005","14:22:00.546",81.08
"NCT","27-DEC-2005","14:22:00.546",26.25
"ALV","27-DEC-2005","14:22:02.786",45.73
"TIE","27-DEC-2005","14:22:02.786",68.09
"UBB","27-DEC-2005","14:22:04.715",65.54
"KOR","27-DEC-2005","14:22:08.705",11
"PHG","27-DEC-2005","14:22:09.706",32.04
"DIA","27-DEC-2005","14:22:10.877",109.75
"MDG","27-DEC-2005","14:22:11.879",21.83
"AGU","27-DEC-2005","14:22:13.426",22.5
"APA","27-DEC-2005","14:22:15.056",70.31
"CIB","27-DEC-2005","14:22:19.457",29
"E","27-DEC-2005","14:22:21.783",140.7
"BMY","27-DEC-2005","14:22:27.373",24
"BVN","27-DEC-2005","14:22:27.373",28.9
"ATE","27-DEC-2005","14:22:29.316",24.57
"SWN","27-DEC-2005","14:22:31.283",37.5
"EOC","27-DEC-2005","14:22:37.982",31.1
"PQ","27-DEC-2005","14:22:37.982",8.5
"HBC","27-DEC-2005","14:22:39.394",81.37
"BNG","27-DEC-2005","14:22:43.895",23.14
"FCX","27-DEC-2005","14:22:45.594",56.11
"LUX","27-DEC-2005","14:22:53.646",25.18
"GGY","27-DEC-2005","14:22:57.908",17.98
"VSL","27-DEC-2005","14:22:57.908",17.75
"LSS","27-DEC-2005","14:23:00.063",51.59
"TP","27-DEC-2005","14:23:00.063",31.75
"CEO","27-DEC-2005","14:23:04.393",68.75
"JSN","27-DEC-2005","14:23:06.540",16.99
"KUB","27-DEC-2005","14:23:06.540",43.8
"SI","27-DEC-2005","14:23:14.599",86.75
"IRE","27-DEC-2005","14:23:16.255",64.05
"LFL","27-DEC-2005","14:23:18.439",37.25
"NJ","27-DEC-2005","14:23:18.439",22.25
"DSS","27-DEC-2005","14:23:22.364",3.17
"JKH","27-DEC-2005","14:23:22.364",79.22
"UFI","27-DEC-2005","14:23:28.223",2.99
"TKP","27-DEC-2005","14:23:32.546",60.42
"CHK","27-DEC-2005","14:23:33.547",32
"IMI","27-DEC-2005","14:23:36.660",31.73
"PPP","27-DEC-2005","14:23:40.878",49.5
"TKP","27-DEC-2005","14:23:40.878",60.92
"KUB","27-DEC-2005","14:23:46.464",43.9
"FCN","27-DEC-2005","14:23:51.022",28.3
"BMY","27-DEC-2005","14:23:53.581",23.75
"SKY","27-DEC-2005","14:23:55.091",37.25
"NXY","27-DEC-2005","14:23:57.775",49
"MCA","27-DEC-2005","14:24:01.373",14.54
"ALK","27-DEC-2005","14:24:03.259",35.84
"GSK","27-DEC-2005","14:24:05.052",51.1
"PBRa","27-DEC-2005","14:24:11.619",63
"TOT","27-DEC-2005","14:24:11.619",127.84
"EN","27-DEC-2005","14:24:15.578",40.4
"UNH","27-DEC-2005","14:24:15.578",64.75
"RML","27-DEC-2005","14:24:19.180",13
"CME","27-DEC-2005","14:24:20.160",380.75
"COG","27-DEC-2005","14:24:21.414",47
"PBR","27-DEC-2005","14:24:22.414",70
"IRC","27-DEC-2005","14:24:23.800",15.06
"XTO","27-DEC-2005","14:24:23.800",45.75
"CAH","27-DEC-2005","14:24:25.717",69.24
"PBF","27-DEC-2005","14:24:25.717",12.63
"RHB","27-DEC-2005","14:24:25.717",21.46
"NIS","27-DEC-2005","14:24:26.718",24.7
"EL","27-DEC-2005","14:24:27.611",33.81
"KEI","27-DEC-2005","14:24:29.713",14.46
"SPI","27-DEC-2005","14:24:31.637",37.7
"SQM","27-DEC-2005","14:24:31.637",109.05
"RL","27-DEC-2005","14:24:32.637",57.41
"CBG","27-DEC-2005","14:24:33.839",59.39
"GCI","27-DEC-2005","14:24:36.041",61.09
"ABB","27-DEC-2005","14:24:44.302",9.81
"CHH","27-DEC-2005","14:24:44.302",42
"BAM","27-DEC-2005","14:24:48.452",50.03
"ROH","27-DEC-2005","14:24:50.206",49.6
"MSM","27-DEC-2005","14:24:52.081",40.6
"DYS","27-DEC-2005","14:24:55.099",19.4
"KBH","27-DEC-2005","14:24:55.099",75.5
"PEP","27-DEC-2005","14:24:55.099",59.21
"FTI","27-DEC-2005","14:24:59.229",43.15
"BAM","27-DEC-2005","14:25:00.621",0
"IJH","27-DEC-2005","14:25:00.621",75.84
"PTR","27-DEC-2005","14:25:02.511",83.2
"TNT","27-DEC-2005","14:25:02.511",67.25
"ATI","27-DEC-2005","14:25:09.558",35.98
"LNC","27-DEC-2005","14:25:11.940",54.49
"LUM","27-DEC-2005","14:25:11.940",7.54
"CSC","27-DEC-2005","14:25:12.941",52
"PG","27-DEC-2005","14:25:12.941",58.88
"VKA","27-DEC-2005","14:25:13.942",14.75
"SAN","27-DEC-2005","14:25:14.943",44.85
"ASX","27-DEC-2005","14:25:15.628",4.8
"MSF","27-DEC-2005","14:25:15.628",21.8
"NBR","27-DEC-2005","14:25:15.628",77.84
"NR","27-DEC-2005","14:25:15.628",7.8
"EOG","27-DEC-2005","14:25:19.337",75.98
"FPL","27-DEC-2005","14:25:19.337",41.56
"SWN","27-DEC-2005","14:25:19.337",37
"AAI","27-DEC-2005","14:25:23.328",15.87
"XRX","27-DEC-2005","14:25:23.328",14.87
"CN","27-DEC-2005","14:25:26.068",32.9
"GOM","27-DEC-2005","14:25:26.068",20.83
"TOL","27-DEC-2005","14:25:26.068",36.25
"VCP","27-DEC-2005","14:25:26.068",12.75
"WEN","27-DEC-2005","14:25:26.068",56.3
"ACH","27-DEC-2005","14:25:29.898",79
"CNL","27-DEC-2005","14:25:31.721",21.04
"GD","27-DEC-2005","14:25:31.721",114.95
"TDW","27-DEC-2005","14:25:31.721",46.01
"AGN","27-DEC-2005","14:25:34.723",110.06
"ANF","27-DEC-2005","14:25:34.723",66
"NHY","27-DEC-2005","14:25:34.723",103.27
"ABC","27-DEC-2005","14:25:35.651",81.8
"IBN","27-DEC-2005","14:25:35.919",29.25
"DNA","27-DEC-2005","14:25:37.741",94.93
"FTO","27-DEC-2005","14:25:37.741",39
"CMN","27-DEC-2005","14:25:38.380",18
"CVO","27-DEC-2005","14:25:38.380",14.03
"HCA","27-DEC-2005","14:25:38.380",51.8
"BZH","27-DEC-2005","14:25:42.099",73.51
"NSC","27-DEC-2005","14:25:42.099",45.7
"BRY","27-DEC-2005","14:25:44.239",57.71
"IJK","27-DEC-2005","14:25:44.858",77.85
"AMD","27-DEC-2005","14:25:46.559",31
"XOM","27-DEC-2005","14:25:46.559",57.09
"BBD","27-DEC-2005","14:25:48.730",30
"WLP","27-DEC-2005","14:25:48.730",78.3
"IQW","27-DEC-2005","14:25:50.377",13.72
"LCC","27-DEC-2005","14:25:52.383",38.25
"BTU","27-DEC-2005","14:25:54.637",83.41
"CTX","27-DEC-2005","14:25:54.637",71.8
"OSI","27-DEC-2005","14:25:54.637",41.78
"WAT","27-DEC-2005","14:25:54.637",38.6
"GOL","27-DEC-2005","14:25:56.791",30
"MTW","27-DEC-2005","14:26:00.873",53.14
"RAI","27-DEC-2005","14:26:00.873",97
"SJT","27-DEC-2005","14:26:00.873",43.75
"APC","27-DEC-2005","14:26:03.695",94.65
"CAL","27-DEC-2005","14:26:03.695",21.6
"VLO","27-DEC-2005","14:26:05.699",52.83
"ACS","27-DEC-2005","14:26:07.219",61
"BA","27-DEC-2005","14:26:07.219",72.5
"ECA","27-DEC-2005","14:26:07.219",45.25
"FO","27-DEC-2005","14:26:07.219",78.91
"JCC","27-DEC-2005","14:26:09.722",35.91
"VDM","27-DEC-2005","14:26:09.722",7.5
"ZNT","27-DEC-2005","14:26:09.722",47
"BHI","27-DEC-2005","14:26:12.234",62.4
"IFN","27-DEC-2005","14:26:12.234",45
"KTC","27-DEC-2005","14:26:12.234",22.55
"AMR","27-DEC-2005","14:26:13.895",23.25
"CLF","27-DEC-2005","14:26:13.895",93
"ACO","27-DEC-2005","14:26:16.127",21.5
"BXC","27-DEC-2005","14:26:16.127",11.59
"FRE","27-DEC-2005","14:26:16.127",67.92
"RIO","27-DEC-2005","14:26:16.127",41.15
"DO","27-DEC-2005","14:26:17.832",71.31
"EAC","27-DEC-2005","14:26:18.648",32.67
"MDT","27-DEC-2005","14:26:18.648",58.32
